X,Y,OBJECTID,CAM_NUM,NOTES,LOCATION,PROJ,XCOORD,YCOORD,created_user,created_date,last_edited_user,last_edited_date
-8529076.35681832,4763713.88902027,33,33, ,Park Ave and W Saratoga St,Downtown,-76.6179987,39.29290538,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529252.5191692,4763696.758432,34,34, ,N Howard St and W Saratoga St,Downtown,-76.61958119,39.29278628,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529259.71113358,4763880.31706173,35,35, ,N Howard St and W Mulberry St,Downtown,-76.6196458,39.29406241,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529266.85107468,4764026.21818686,36,36, ,N Howard St and W Franklin St,Downtown,-76.61970994,39.29507673,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529276.49165691,4764199.43961431,37,37, ,N Howard St and W Centre St,Downtown,-76.61979654,39.29628095,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529438.76474108,4764136.62084443,38,38, ,N Eutaw St and George St,Downtown,-76.62125426,39.29584424,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529564.26873087,4763203.5680455,39,39, ,S Paca St and W Baltimore St,Downtown,-76.62238168,39.28935742,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529417.54695268,4763716.93399502,40,40, ,N Eutaw St and W Saratoga,Downtown,-76.62106366,39.29292655,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529588.77323006,4763707.51855008,41,41, ,N Paca St and W Saratoga St,Downtown,-76.62260181,39.29286109,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529567.64648794,4763837.31225387,42,42, ,N Paca St and W Mulberry St,Downtown,-76.62241203,39.29376344,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529555.59365869,4763490.10627274,43,43, ,N Paca St and W Lexington St,Downtown,-76.62230375,39.29134957,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529758.16700022,4763972.03022049,44,44, ,N Greene St and W Franklin St,Downtown,-76.6241235,39.29470001,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529736.2426674,4763674.85387619,45,45, ,N Greene St and W Saratoga St,Downtown,-76.62392655,39.29263399,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529454.46633464,4764007.90637651,46,46, ,N Eutaw St and W Franklin St,Downtown,-76.62139531,39.29494942,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529460.80817596,4764237.72852376,47,47, ,N Eutaw St and Druid Hill Ave,Downtown,-76.62145228,39.29654713,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529424.1326543,4763846.02296726,48,48, ,N Eutaw St and W Mulberry St,Downtown,-76.62112282,39.293824,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529602.08306925,4764111.44730606,49,49, ,N Paca St and George St,Downtown,-76.62272138,39.29566924,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528947.43895884,4764210.85422896,50,50, ,Cathedral St and W Centre St,Downtown,-76.61684061,39.29636031,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528908.53957095,4763483.13740476,51,51, ,Center Plaza,Downtown,-76.61649117,39.29130112,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528882.26962485,4763118.7031563,52,52, ,Hopkins Plaza and,Downtown,-76.61625518,39.28876738,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528778.32428505,4763218.04846733,53,53, ,Charles and Baltimore,Downtown,-76.61532142,39.28945809,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528758.69922847,4762959.01082814,54,54, ,S Charles St and E Lombard St,Downtown,-76.61514513,39.28765709,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528634.4053256,4763472.68136561,55,55, ,Saint Paul St and E Lexington St,Downtown,-76.61402858,39.29122842,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528588.20943637,4763145.38293263,56,56, ,Light St and E Redwood St,Downtown,-76.61361359,39.28895288,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528437.97247956,4763368.959462,57,57, ,N Calvert St and E Fayette St,Downtown,-76.61226399,39.2905073,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528444.17377672,4763128.20867804,58,58, ,S Calvert St and E Redwood St,Downtown,-76.6123197,39.28883347,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528409.66310822,4762968.27989851,59,59, ,S Calvert St and E Lombard St,Downtown,-76.61200968,39.28772154,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528293.57684068,4763489.26496456,60,60, ,Guilford Ave and E Lexington St,Downtown,-76.61096686,39.29134372,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528283.77628349,4763263.5713631,61,61, ,South St and E Baltimore St,Downtown,-76.61087882,39.28977459,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528273.13642237,4763055.19811376,62,62, ,South St and Water St,Downtown,-76.61078324,39.28832585,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528240.97924499,4763660.24474919,63,63, ,N Holliday St and E Saratoga St,Downtown,-76.61049437,39.29253243,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528224.75150282,4763373.09906817,64,64, ,N Holliday St and E Fayette St,Downtown,-76.61034859,39.29053609,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528203.92326969,4762975.38222693,65,65, ,Commerce St and E Lombard St,Downtown,-76.61016149,39.28777092,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528170.64287783,4762827.95991413,66,66, ,Commerce St and E Pratt St,Downtown,-76.60986253,39.28674592,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528161.11742892,4763174.17596527,67,67, ,Custom House Ave and,Downtown,-76.60977696,39.28915307,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528075.66578717,4763278.11298826,68,68, ,S Gay St and E Baltimore St,Downtown,-76.60900933,39.28987569,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528044.98078425,4763085.22431194,69,69, ,S Gay St and Water St,Downtown,-76.60873368,39.28853462,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8527931.55068482,4763487.25779025,70,70, ,E Saratoga St and E Lexington St,Downtown,-76.60771472,39.29132977,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8527847.85922896,4762977.21212538,71,71, ,Market Pl and E Lombard St,Downtown,-76.60696291,39.28778364,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529825.19587773,4763507.34227716,72,72, ,W Lexington St between Pearl St & Greene St,Downtown,-76.62472563,39.2914694,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529723.85371839,4763833.93390812,73,73, ,N Greene St and W Mulberry St,Downtown,-76.62381526,39.29373995,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529608.3859086,4764376.78230094,74,74, ,Druid Hill Ave and Saint Mary St,Downtown,-76.622778,39.29751381,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529868.38845757,4764141.180017,75,75, ,Pennsylvania Ave and Saint Mary St,Downtown,-76.62511364,39.29587594,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529447.60963955,4764332.64966246,76,76, ,N Eutaw St and W Monument St,Downtown,-76.62133372,39.29720701,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528772.92611792,4763617.14842528,77,77, ,Saratoga and Charles,Downtown,-76.61527293,39.29223281,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528658.52171018,4764043.23385339,78,78, ,Saint Paul St and Franklin,Downtown,-76.61424522,39.29519502,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8528783.4584819,4763339.15059086,79,79, ,Charles and Fayette,Downtown,-76.61536754,39.29030006,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526425.86354706,4763855.59170636,80,201, ,E Fayette St and N Broadway,Broadway,-76.5941889,39.29389052,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526411.32758098,4763661.61786063,81,202, ,E Fairmount Ave and N Broadway,Broadway,-76.59405832,39.29254197,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526404.84970103,4763508.22623345,82,203, ,E Baltimore St and S Broadway,Broadway,-76.59400013,39.29147555,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526146.76799596,4763526.07655158,83,204, ,E Baltimore St and S Ann St,Broadway,-76.59168174,39.29159965,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8525857.62735846,4763540.46878264,84,205, ,E Baltimore St and S Washington St,Broadway,-76.58908435,39.29169971,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526365.50384267,4763364.39821435,85,206, ,E Lombard St and S Broadway,Broadway,-76.59364668,39.29047559,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526153.66152602,4763370.44090075,86,207, ,E Lombard St and S Ann St,Broadway,-76.59174367,39.29051761,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526074.005751,4763373.65461959,87,208, ,E Lombard St and S Durham St,Broadway,-76.59102811,39.29053995,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8525931.21023045,4763369.07902625,88,209, ,E Lombard St and S Chapel St,Broadway,-76.58974535,39.29050814,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8525866.81066391,4763381.79437131,89,210, ,E Lombard St and S Washington St,Broadway,-76.58916684,39.29059654,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526352.42466666,4763192.2723002,90,211, ,E Pratt St and S Broadway,Broadway,-76.59352919,39.28927888,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526574.41484398,4763170.32349926,91,212, ,E Pratt St and N Bond St,Broadway,-76.59552336,39.28912628,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526377.1286402,4762945.04500487,92,213, ,Gough St and S Broadway,Broadway,-76.59375111,39.28755999,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526224.56387591,4762954.72925479,93,214, ,Gough St and S Regester St,Broadway,-76.5923806,39.28762732,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526337.24910107,4762816.55013489,94,215, ,Bank St and S Broadway,Broadway,-76.59339286,39.28666659,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526555.48456382,4762787.85320682,95,216, ,Bank St and S Bond St,Broadway,-76.59535331,39.28646706,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526709.42725851,4762781.33728851,96,217, ,Bank St and Caroline St,Broadway,-76.5967362,39.28642176,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526328.23930136,4762648.73320132,97,218, ,Eastern Ave and S Broadway,Broadway,-76.59331193,39.28549977,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526128.18520378,4762677.57804451,98,219, ,Eastern Ave and S Ann St,Broadway,-76.59151481,39.28570033,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526365.51167222,4762519.8543431,99,220, ,Fleet St and S Broadway,Broadway,-76.59364675,39.28460368,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526315.50485738,4762510.23154616,100,221, ,Fleet St and S Broadway St East,Broadway,-76.59319753,39.28453677,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526102.89159305,4762540.32501677,101,222, ,Fleet St and S Ann St,Broadway,-76.59128759,39.28474601,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526696.46747227,4762480.38544767,102,223, ,Fleet St and S Caroline St,Broadway,-76.59661978,39.28432925,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526864.49467507,4762478.79570959,103,224, ,Fleet St and S Eden St,Broadway,-76.59812919,39.2843182,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526321.08667542,4762375.89314199,104,225, ,S Broadway and Aliceanna St East,Broadway,-76.59324767,39.2836027,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526343.50566802,4762355.03357983,105,226, ,Aliceanna and Broadway West,Broadway,-76.59344907,39.28345766,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8526333.83007422,4762107.41182999,106,227, ,Thames St and S Broadway,Broadway,-76.59336215,39.28173588,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530778.74705853,4757643.93319366,107,301, ,2708 Berea Rd rear,Cherry Hill,-76.63329153,39.25069292,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530658.65701637,4757680.81842142,108,302, ,1312 Shellbanks rear,Cherry Hill,-76.63221274,39.25094951,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530758.64337462,4757595.41907365,109,303, ,Berea Rd and Slater Rd,Cherry Hill,-76.63311094,39.25035544,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530714.81772929,4757582.70702555,110,304, ,2711 Berea Rd rear,Cherry Hill,-76.63271724,39.25026701,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530618.76510487,4757604.15134048,111,305, ,Shellbanks Rd and Blyden Rd,Cherry Hill,-76.63185439,39.25041618,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530737.05318941,4757490.67788875,112,306, ,1301 Slater Rd rear,Cherry Hill,-76.63291699,39.2496268,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530516.04593956,4757593.92107908,113,307, ,Bldg 1200 rear,Cherry Hill,-76.63093164,39.25034502,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530632.46061459,4757401.80719021,114,308, ,Fisk Rd and Slater Rd,Cherry Hill,-76.63197742,39.24900857,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530657.09239706,4757362.8422424,115,309, ,1201 Slater Rd rear,Cherry Hill,-76.63219869,39.24873751,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530444.77323786,4757499.5222744,116,310, ,Giles Rd and Shellbanks Rd,Cherry Hill,-76.63029139,39.24968833,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530416.5424485,4757460.3367472,117,311, ,2701 Giles Rd rear and Shellbanks,Cherry Hill,-76.63003779,39.24941574,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530466.09524477,4757325.17307617,118,312, ,Sethlow Rd and Slater Rd,Cherry Hill,-76.63048293,39.24847546,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530324.43718437,4757348.74480768,119,313, ,Spelman Rd and Woodview Rd,Cherry Hill,-76.62921039,39.24863944,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530238.78456449,4757366.02787359,120,314, ,Woodview Rd and Round Rd,Cherry Hill,-76.62844096,39.24875967,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530383.16653378,4757281.12149977,121,315, ,Community Center rear,Cherry Hill,-76.62973797,39.24816901,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530418.47917398,4757136.42905228,122,316, ,Community Center rear,Cherry Hill,-76.63005519,39.24716242,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530283.43905483,4757126.77681125,123,317, ,Spelman Rd and Claflin Ct,Cherry Hill,-76.6288421,39.24709527,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530158.6364692,4757022.52156174,124,318, ,2822 Round Rd,Cherry Hill,-76.62772098,39.24636999,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530235.09671578,4756949.78006011,125,319, ,Spelman Rd and S Denham Cir,Cherry Hill,-76.62840783,39.24586393,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530312.33722181,4756886.72598738,126,320, ,2810 Denham Cr side,Cherry Hill,-76.6291017,39.24542527,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530275.88767618,4756752.59656776,127,321, ,2822 Denham Cr rear,Cherry Hill,-76.62877427,39.24449214,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530249.43714383,4756769.37498382,128,322, ,2824 N Denham Cir,Cherry Hill,-76.62853666,39.24460886,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530186.54452164,4756799.1034825,129,323, ,2820 Spelman Rd,Cherry Hill,-76.62797168,39.24481568,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530112.62636685,4756841.62935119,130,324, ,Bridgeview Rd and Spelman Rd,Cherry Hill,-76.62730766,39.24511154,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530165.31430845,4756666.74743063,131,325, ,2917 S Denham Cir rear,Cherry Hill,-76.62778097,39.24389488,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530021.03447221,4756725.74029368,132,326, ,2901 Denham Cir side,Cherry Hill,-76.62648488,39.24430529,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529956.15982085,4756814.00758009,133,327, ,3301 Round Rd,Cherry Hill,-76.6259021,39.24491937,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529857.19209892,4756826.99857592,134,328, ,911 Coppin Court rear,Cherry Hill,-76.62501306,39.24500975,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529775.9065592,4756868.75227087,135,329, ,Coppin Ct and Bunche Rd,Cherry Hill,-76.62428286,39.24530023,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529725.31456408,4756827.56161364,136,330, ,Bethune Rd and Bunche Rd,Cherry Hill,-76.62382838,39.24501367,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529720.76428404,4756701.12294806,137,331, ,3411 Round Rd rear,Cherry Hill,-76.62378751,39.24413403,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529809.47105572,4756675.45570419,138,332, ,3401 Round Rd,Cherry Hill,-76.62458437,39.24395546,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8529981.16811148,4756620.59302641,139,333, ,Bethune Rd and Spelman Rd,Cherry Hill,-76.62612675,39.24357378,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
-8530054.26241525,4756496.50942829,140,334, ,1019 Bethune Rd rear,Cherry Hill,-76.62678337,39.2427105,EGISDATA,2021/09/29 17:10:29+00,EGISDATA,2021/09/29 17:10:29+00
